Name,Check In,Check Out,Date and Birth,Phone Number,Email,Gender,Room Number,Address
Mia Clark,"March 21, 2023","March 29, 2023","April 4, 1977",6476680257,Miaclark@icloud.com,Female,1048,2870 Carlson Road
Roselyn Yu,"March 28, 2023","March 31, 2023","May 30, 1985",6474777095,Gavynforwork@live.com,Male,1101,3284 Churchill Plaza
Krish Stein,"February 27, 2023","March 1, 2023","January 2, 1997",6474239511,william@comcast.net,Female,716,2216 Boulevard Laflèche
Roselyn Wang,"April 1, 2023","April 2,2023","January 28, 1975",6479603795,studyabr@gmail.com,Female,215,2735 Blind Bay Road
Annalise Browning,"March 7, 2023","March 9,2023","March 30, 1965",6474971898,niknejad@aol.com,Female,667,2178 St. John Street
Branden Powell,"January 25,2023","February 1, 2023","July 22, 1999",6478193056,Branden123@comcast.net,Male,1829,1369 Woodvale Drive
Vicente Boyle,"January 2, 2023","January 6, 2023","April 23, 1980",4165825929,Vicente@yahoo.ca,Male,1735,5 Blind Bay Road
Sage Weeks,"January 10, 2023","January 12, 2023","June 30, 1995",4163957415,world@icloud.com,Intersex,1911,3383 Wascana Parkway
Garrett Parsons,"March 9, 2023","March 12, 2023","August 23, 1998",7789603795,ismail@gmail.com,Male,2240,2783 Whitmore Road
Kamila Farley,"March 18, 2023","March 21,2023","February 18, 1990",6475129113,12345@me.com,Trans Female,2430,2714 40th Street
Aliza Harrington,"April 2, 2023","April 4, 2023","March 24, 1994",7784404498,Ali@live.com,Female,102,1081 Scotts Lane
William Todd,"December 25, 2022",December 30. 2022,"May 5, 1985",4168845130,Todd_W@sbcglobal.net,Male,333,527 Central Pkwy
Neveah Ho,"Decomber 20, 2022","December 22, 2022","June 13, 1964",4167869396,bescoto@hotmail.com,Female,989,2195 Robson St
Damon Avila,"April 4, 2023","April 6, 2023","September 20, 1978",4167956726,emcleod@gmail.com,Male,696,326 rue Principale
Ella Tate,"December 15,2022","December 20, 2022","October 15, 2000",4165126783,seasweb@outlook.com,Female,738,742 Islington Ave
Macy Hull,"January 18, 2023","January 23, 2023","November 23, 1992",6475365196,gamma@msn.com,Male,1022,3013 rue Ontario Ouest
Faith Huerta,"March 9,2023","March 11,2023","May 28, 2001",6475742053,gtewari@yahoo.com,Trans Male,1312,3245 James Street
Jocelynn Lin,"February 13,2023","February 16,2023","July 19, 1976",4161236884,inico@mac.com,Female,1311,2124 Adelaide St
Kayden Baker,"February 18,2023","February 19,2023","December 26, 1980",9058789663,frederic@yahoo.com,Male,1100,4488 Lynden RoadJulia Zheng,"April 10, 2023","April 20, 2023","October 11, 1998",6476482979,juliaforwork@gmail.com,Female,1706,336 King St
123,123,123,123,23,123,12,123,123
Coco,"April 10, 2023","April 20, 2023","Augest 8, 1980",6472622222,cocoforwork@163.com,Female,1123,987 King Road
